employee_id,department,job_level,education,performance_score,engagement_score,years_experience,years_at_company,leadership_trait_score,peer_feedback_score,manager_feedback_score,innovation_score,learning_hours,projects_led,promotion_last_3yrs,absenteeism_days,attrition_risk_score,future_leader
EMP10000,Marketing,Mid,Master,65.0,69.3,4.8,1.2,58.6,4.04,4.16,53.5,33.0,2,1,6,29.3,1
EMP10001,HR,Mid,Diploma,78.2,48.5,5.6,2.3,,3.25,2.69,86.6,36.2,1,1,6,21.6,0
EMP10002,Marketing,Junior,Bachelor,,76.9,3.2,1.1,67.2,3.54,2.78,88.1,27.5,2,1,6,27.2,0
EMP10003,Operations,Mid,Bachelor,67.1,74.9,7.3,3.3,99.0,3.69,3.47,77.0,65.3,1,0,6,84.1,0
EMP10004,Sales,Senior,Master,60.4,94.8,11.4,7.8,52.9,2.67,3.56,49.3,40.7,2,0,6,58.9,0
EMP10005,Product,Junior,Master,74.9,81.0,2.4,1.2,71.2,2.95,2.54,30.0,39.5,1,1,6,4.5,0
EMP10006,Marketing,Mid,Master,58.7,64.5,5.0,2.9,76.6,2.97,4.32,82.3,38.8,2,0,6,43.4,0
EMP10007,Marketing,Manager,Bachelor,76.7,80.6,14.0,5.7,68.0,4.2,2.99,66.8,49.7,3,0,6,44.9,0
EMP10008,Sales,Junior,Bachelor,99.0,51.8,4.3,1.3,69.5,3.86,4.8,53.1,31.9,2,0,6,29.6,0
EMP10009,HR,Mid,Master,86.9,57.5,5.0,1.9,53.4,4.1,5.0,83.8,16.2,2,0,6,37.9,0
EMP10010,Engineering,Senior,Bachelor,79.9,74.3,10.7,8.1,69.5,2.5,3.58,51.2,35.3,2,1,6,36.6,0
EMP10011,Product,Junior,Bachelor,71.1,41.9,5.2,3.1,75.2,2.74,4.06,58.2,37.6,0,0,6,13.2,0
EMP10012,Operations,Junior,Master,50.7,69.5,5.8,2.6,72.6,4.13,2.89,73.4,53.6,3,0,6,13.9,0
EMP10013,Marketing,Junior,Master,57.5,56.7,6.9,4.9,76.0,1.89,4.19,47.2,15.3,2,0,6,37.9,0
EMP10014,HR,Lead,PhD,86.1,,9.1,2.2,87.8,4.5,3.4,63.2,17.4,0,1,6,34.0,1
EMP10015,Engineering,Junior,Bachelor,63.3,56.0,3.0,1.1,81.1,2.51,,82.4,29.3,1,1,6,22.2,0
EMP10016,Finance,Junior,Bachelor,64.3,75.5,3.0,1.0,69.0,4.25,3.55,68.4,39.4,2,0,6,17.1,0
EMP10017,Sales,Junior,Diploma,70.2,70.3,2.8,2.4,51.6,3.12,3.42,85.0,13.7,3,0,6,30.7,0
EMP10018,Marketing,Junior,Bachelor,60.3,88.2,1.6,1.1,59.6,4.38,3.52,83.1,15.5,2,0,6,45.1,0
EMP10019,Operations,Senior,Bachelor,58.5,70.1,5.7,3.4,64.9,5.0,4.41,65.1,44.1,2,1,6,31.0,1
EMP10020,Operations,Junior,Bachelor,71.4,60.0,3.2,0.7,71.5,2.22,3.2,27.6,14.0,1,1,6,63.4,0
EMP10021,Engineering,Mid,Master,,66.8,4.3,1.4,61.3,4.15,4.96,47.3,17.6,1,0,6,20.5,0
EMP10022,Product,Senior,PhD,63.8,52.5,9.2,5.6,54.9,2.52,2.82,77.2,45.5,0,1,6,39.0,0
EMP10023,Product,Lead,Master,63.4,,9.3,4.2,51.4,3.98,,40.2,39.1,2,0,6,25.1,0
EMP10024,Marketing,Junior,Master,77.7,77.7,0.6,0.5,44.9,3.57,,59.8,20.2,2,0,6,41.6,0
EMP10025,Engineering,Lead,Bachelor,69.4,99.0,11.5,8.0,64.7,3.78,3.75,70.4,36.8,3,0,6,13.1,1
EMP10026,HR,Senior,Bachelor,70.0,61.9,9.3,4.6,47.4,3.11,3.41,88.5,33.3,2,1,6,68.6,0
EMP10027,Sales,Junior,Bachelor,78.6,66.5,4.3,3.0,54.0,4.21,,55.8,26.9,0,0,6,2.6,0
EMP10028,Sales,Senior,Bachelor,70.4,62.5,13.8,11.5,62.5,2.76,4.31,54.7,23.3,1,0,6,64.6,0
EMP10029,Operations,Lead,Bachelor,68.9,72.8,11.6,5.8,49.3,4.51,4.8,64.2,36.1,7,0,6,33.5,0
EMP10030,Operations,Mid,Bachelor,77.2,75.0,7.1,4.4,73.3,3.43,4.58,70.6,14.7,1,1,6,41.4,1
EMP10031,Product,Lead,Bachelor,79.4,69.3,8.6,6.9,78.4,2.79,3.47,62.5,35.9,1,0,6,56.5,0
EMP10032,Engineering,Mid,Master,70.4,84.1,3.2,1.2,60.3,4.74,3.88,81.8,31.7,1,0,6,45.3,0
EMP10033,Engineering,Senior,Master,72.9,62.0,12.5,9.7,61.9,3.66,3.2,52.2,32.9,1,0,6,20.7,1
EMP10034,HR,Manager,Bachelor,63.4,82.8,11.0,2.9,75.5,4.94,3.06,66.9,17.1,4,1,6,40.9,1
EMP10035,Engineering,Mid,Bachelor,62.5,,3.7,2.3,58.0,4.49,2.95,72.1,54.3,0,0,6,64.8,0
EMP10036,Sales,Lead,Master,80.5,69.8,10.9,7.7,,3.18,3.44,58.6,20.2,1,0,6,16.5,0
EMP10037,HR,Mid,Master,76.9,65.9,5.8,3.5,84.8,3.64,3.92,78.4,22.0,2,1,6,71.3,0
EMP10038,Engineering,Senior,Master,77.0,99.0,7.0,3.7,80.4,3.78,2.41,67.4,26.3,3,0,6,34.1,1
EMP10039,Operations,Senior,Bachelor,75.1,59.4,8.3,5.0,76.4,4.69,,77.6,39.0,2,0,6,26.5,1
EMP10040,HR,Junior,PhD,72.5,73.9,5.7,1.7,81.0,3.98,4.81,68.1,32.4,2,1,6,15.6,1
EMP10041,Marketing,Mid,Bachelor,79.7,60.2,4.2,1.4,40.3,3.81,4.54,71.0,11.4,1,0,6,30.1,0
EMP10042,Operations,Mid,Bachelor,82.3,93.2,2.9,1.1,87.0,3.57,3.34,54.9,28.6,1,0,6,1.0,1
EMP10043,Engineering,Junior,Bachelor,82.0,81.5,5.1,3.0,73.5,3.67,2.77,54.9,29.9,1,0,6,22.9,0
EMP10044,Marketing,Junior,Bachelor,70.9,,4.1,2.0,82.2,4.55,4.07,84.6,55.0,0,1,6,29.3,1
EMP10045,Marketing,Mid,Bachelor,87.3,76.7,4.6,1.7,73.4,3.7,2.13,75.2,24.4,1,1,6,11.9,0
EMP10046,HR,Junior,Bachelor,74.5,73.4,0.0,0.0,68.7,3.44,4.53,48.6,37.3,3,0,6,45.2,0
EMP10047,Engineering,Junior,Master,79.0,63.3,1.4,0.6,64.1,3.33,3.6,67.9,95.0,1,0,6,29.7,0
EMP10048,Operations,Senior,Bachelor,75.1,79.9,8.9,4.4,73.1,3.34,5.0,27.0,50.3,6,0,6,19.2,1
EMP10049,Sales,Senior,Bachelor,74.7,75.1,11.6,5.4,63.6,2.79,2.54,55.8,16.6,3,0,6,25.6,0
EMP10050,Engineering,Senior,Bachelor,63.9,72.8,6.7,2.1,,3.21,4.39,80.4,41.6,4,0,6,38.3,0
EMP10051,Sales,Mid,Bachelor,79.7,69.5,5.8,3.9,45.8,4.67,3.68,63.0,36.0,0,0,6,33.8,0
EMP10052,Marketing,Lead,Bachelor,99.0,75.6,12.5,6.1,60.4,3.57,3.52,66.9,24.0,0,0,6,18.8,0
EMP10053,Operations,Senior,Bachelor,67.9,73.0,3.8,0.8,96.6,4.16,2.79,16.7,41.9,3,1,6,34.1,0
EMP10054,Operations,Junior,,72.8,70.8,5.3,4.4,59.2,2.09,4.17,58.7,16.5,0,0,6,31.3,0
EMP10055,Marketing,Junior,Master,67.1,61.7,0.4,0.3,64.7,4.07,4.22,70.4,20.5,1,0,6,13.4,0
EMP10056,HR,Senior,Diploma,66.6,92.0,9.7,6.5,55.6,3.6,5.0,72.4,26.5,4,0,6,23.2,1
EMP10057,Finance,Junior,Bachelor,89.0,56.3,3.5,2.7,72.7,3.39,4.46,80.4,23.4,2,0,6,45.3,0
EMP10058,Sales,Mid,Master,64.6,75.6,8.4,6.6,57.7,,3.33,61.6,39.6,2,0,6,41.7,0
EMP10059,Sales,Manager,PhD,,65.8,14.2,6.0,65.4,3.38,3.05,62.3,28.2,4,0,6,29.0,0
EMP10060,Operations,Junior,Diploma,54.5,92.9,0.0,0.0,79.9,2.32,2.79,43.7,22.1,2,0,6,40.5,0
EMP10061,HR,Junior,Master,63.7,58.3,1.3,0.8,58.2,4.3,4.78,61.7,49.9,2,0,6,16.9,0
EMP10062,Finance,Manager,PhD,53.2,60.4,13.3,5.0,79.0,3.86,3.21,44.8,38.9,1,1,6,17.0,0
EMP10063,Marketing,Mid,Diploma,78.9,57.4,5.6,1.9,79.5,3.5,,35.4,12.7,5,1,6,30.1,1
EMP10064,Operations,Junior,Master,99.0,74.2,4.1,1.1,82.8,3.07,4.12,47.6,12.6,2,1,6,58.6,1
EMP10065,Finance,Lead,Bachelor,68.0,52.2,12.7,8.0,70.0,2.74,3.98,89.1,22.2,3,0,6,38.5,0
EMP10066,Finance,Lead,Bachelor,53.7,63.8,12.3,8.7,99.0,3.85,3.54,60.7,13.6,0,1,6,28.6,0
EMP10067,Engineering,Mid,Bachelor,81.9,42.0,5.5,3.8,82.8,4.75,4.21,68.5,45.9,1,0,6,65.2,0
EMP10068,Sales,Senior,Bachelor,64.0,73.1,4.9,2.0,72.5,3.83,3.74,56.8,21.0,5,0,6,26.7,0
EMP10069,HR,Mid,Bachelor,86.3,63.5,5.0,1.7,55.7,2.8,3.49,36.4,37.3,1,0,6,73.8,0
EMP10070,Engineering,Junior,Bachelor,68.9,50.7,3.9,1.9,66.6,3.85,4.24,80.0,72.3,2,0,6,26.7,0
EMP10071,HR,Senior,Master,65.1,84.1,6.6,3.7,88.0,,3.65,30.2,41.4,2,0,6,11.7,0
EMP10072,Marketing,Mid,Master,70.0,53.0,7.4,5.9,91.9,4.26,3.19,56.1,9.1,1,0,6,32.5,1
EMP10073,Engineering,Senior,PhD,80.3,80.4,11.0,8.5,88.7,4.09,4.17,64.1,21.5,4,1,6,26.0,1
EMP10074,Sales,Lead,Bachelor,69.5,60.9,11.3,9.0,79.0,1.76,3.71,68.7,25.9,1,0,6,19.5,0
EMP10075,Engineering,Junior,Bachelor,66.5,90.8,0.0,0.0,,4.05,4.09,53.4,33.1,0,0,6,75.5,0
